user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
29764828,0,1,4
29852387,0,0,3
29873979,0,0,10
29983962,0,0,3
30042027,0,0,2
30061970,0,0,23
30115594,0,0,2
30172489,0,0,3
30239820,0,0,2
30246419,0,1,151
30425578,0,0,38
30440303,0,0,48
30500254,0,0,1
30519870,0,0,17
30527047,0,1,2
30572170,0,0,6
30583864,0,0,1
30699429,0,1,12
30855460,0,0,1
30912860,0,0,24
30913209,0,0,9
31187179,0,0,22
31500407,0,0,1
31668589,0,0,3
31669242,0,0,63
31727716,0,0,9
31733621,0,0,3
31733654,0,0,6
31817706,0,0,2
31839832,0,0,1
31849177,0,0,2
31944667,0,0,2
32102983,0,0,3
32125590,0,0,5
32126281,0,0,28
32467994,0,0,18
32498610,0,0,4
32577778,0,0,1
32592631,0,0,1
32644336,0,0,10
32710856,0,0,7
32749624,0,0,5
32818456,0,0,1
32847394,0,0,4
33013552,0,0,111
33029093,0,0,1
33071192,0,0,2
33098857,0,0,3
33121288,0,0,1
33214968,0,0,3
33261284,0,0,2
33282871,0,0,23
33452361,0,0,2
33457161,0,0,1
33518079,0,0,5
33580866,0,0,1
33614428,0,0,1
33622085,0,0,21
33651880,0,1,50
33659046,0,0,8
33706322,0,0,27
33788990,0,0,2
33865373,0,0,152
33904278,0,0,1
33910513,0,0,2
33993318,0,0,1
33995654,0,0,3
34040508,0,0,1
34102593,0,0,2
34177747,0,0,30
34281672,0,0,10
34384042,0,0,2
34442062,0,0,2
34582304,0,0,4
34858979,0,0,1
34901647,0,0,29
34919318,0,0,26
35009482,0,0,4
35039277,0,0,18
35047392,0,0,1
35153301,0,0,2
35177894,0,0,3
35330593,0,0,1
35355224,0,0,2
35388317,0,0,2
35394734,0,0,2
35640500,0,0,1
35701646,0,1,35
35729292,0,0,8
35864169,0,0,8
36017955,0,0,2
36271979,0,0,3
36349097,0,0,2
36404933,0,0,73
36439985,0,0,4
36502549,0,0,9
36546868,0,0,75
36557643,0,0,77
36611463,0,0,1
36714440,0,0,1
36775354,0,0,1
36791999,0,0,5
36915181,0,1,3
36978196,0,0,7
37294596,0,1,2
37422528,0,1,40
37435998,0,0,2
37466720,0,0,2
37468189,0,0,1
37490443,0,0,6
37708732,0,0,1
37723786,0,0,20
37727952,0,0,1
37827989,0,0,5
37829487,0,0,6
38049880,0,0,64
38068919,0,0,3
38179194,0,0,5
38293596,0,0,1
38317154,0,0,29
38323067,0,0,4
38436635,0,0,1
38465050,0,0,21
38731746,0,0,6
39037163,0,0,26
39082468,0,0,10
39146470,0,0,11
39319649,0,0,6
39322716,0,0,3
39334748,0,0,3
39361297,0,0,19
39403038,0,0,2
39446138,0,0,1
39524248,0,0,1
39622853,0,0,30
39758678,0,0,2
39760170,0,0,1
39834113,0,0,8
39869522,0,0,1
39899978,0,0,4
39911920,0,0,2
39941720,0,0,7
40051659,0,0,3
40080833,0,0,6
40212239,0,0,63
40280688,0,0,1
40289887,0,0,2
40601456,0,0,1
40652120,0,0,3
40797591,0,0,1
41324040,0,0,1
41559627,0,0,30
41606445,0,0,1
41719717,0,0,9
41846650,0,1,3
41847338,0,0,1
41883322,0,0,7
41887439,0,0,3
41934963,0,0,1
42005897,0,0,23
42061089,0,0,20
42099265,0,0,1
42198457,0,0,2
42298912,0,0,2
42363887,0,0,5
42380987,0,0,6
42492910,0,0,2
42657809,0,0,32
42681063,0,0,1
42771635,0,0,19
42849279,0,0,2
42928788,0,1,14
42935819,0,0,2
43114966,0,0,1
43160799,0,0,8
43186470,0,0,2
43189361,0,0,1
43284145,0,0,3
43360645,0,0,40
43455427,0,0,1
43607599,0,0,1
43684632,0,1,38
43700700,0,0,1
43908860,0,0,4
43913966,0,0,33
43936108,0,0,4
43955374,0,0,39
44010163,0,0,7
44021324,0,0,3
44147409,0,0,2
44153929,0,0,1
44156169,0,0,3
44169472,0,0,3
44240866,0,0,2
44314169,0,0,40
44321815,0,0,7
44370809,0,0,7
44426653,0,0,1
44472980,0,0,58
44482198,0,0,18
44545959,0,0,22
44755776,0,0,6
