app_id,status,name,type,required_age,platforms,metacritic_score,category_ids,categories,genre_ids,genres,recommendations
48700,True,Mount & Blade: Warband,game,0,windows:mac:linux,78,2:1:22:29:30,Single-player:Multi-player:Steam Achievements:Steam Trading Cards:Steam Workshop,1:3,Action:RPG,91514
48705,True,Mount & Blade: Warband - Napoleonic Wars,dlc,0,windows:mac:linux,83,1:21,Multi-player:Downloadable Content,1:3,Action:RPG,2807
48710,True,Mount & Blade: Warband Demo,demo,0,windows,78,10,Game demo,1:3,Action:RPG,NA
48720,True,Mount & Blade: With Fire & Sword,game,0,windows,68,2:1:22,Single-player:Multi-player:Steam Achievements,1:3,Action:RPG,7936
48800,True,Ship Simulator Extremes,game,0,windows,49,2:1,Single-player:Multi-player,28,Simulation,1283
48802,True,Ship Simulator Extremes: Sigita Pack,dlc,0,windows,NA,2:1:21,Single-player:Multi-player:Downloadable Content,28,Simulation,NA
48803,True,Ship Simulator Extremes: Ferry Pack,dlc,0,windows,NA,2:1:21,Single-player:Multi-player:Downloadable Content,28,Simulation,NA
48804,True,Ship Simulator Extremes: Cargo Vessel,dlc,0,windows,NA,2:1:21,Single-player:Multi-player:Downloadable Content,28,Simulation,NA
48805,True,Ship Simulator Extremes: Offshore Vessel,dlc,0,windows,NA,2:1:21,Single-player:Multi-player:Downloadable Content,28,Simulation,NA
48806,True,Ship Simulator Extremes: Ocean Cruise Ship,dlc,0,windows,NA,2:1:21,Single-player:Multi-player:Downloadable Content,28,Simulation,NA
48810,True,Ship Simulator Extremes - Demo,demo,0,windows,49,1:10,Multi-player:Game demo,28,Simulation,NA
48830,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48900,True,Saira,game,0,windows,NA,2,Single-player,23,Indie,NA
48950,True,Greed Corp,game,0,windows,76,2:1:22:23:25,Single-player:Multi-player:Steam Achievements:Steam Cloud:Steam Leaderboards,2,Strategy,320
49000,True,Hotel Dash™ Suite Success™,game,0,windows:mac,NA,2,Single-player,4,Casual,NA
49300,True,Commander: Conquest of the Americas,game,0,windows,68,2:22,Single-player:Steam Achievements,2,Strategy,120
49310,True,Commander: Conquest of the Americas - Colonial Navy,dlc,0,windows,NA,2:21:22,Single-player:Downloadable Content:Steam Achievements,2,Strategy,NA
49311,True,Commander: Conquest of the Americas - Pirate Treasure Chest,dlc,0,windows,NA,2:21,Single-player:Downloadable Content,2,Strategy,NA
49312,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49313,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49314,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49315,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49320,True,Woody Two-Legs: Attack of the Zombie Pirates,game,0,windows,NA,2:22,Single-player:Steam Achievements,4,Casual,NA
49330,True,Pirates of Black Cove,game,0,windows,56,2:22,Single-player:Steam Achievements,2,Strategy,NA
49337,True,Pirates of Black Cove: Origins,dlc,0,windows,NA,2:21,Single-player:Downloadable Content,2,Strategy,NA
49340,True,Pirates of Black Cove Demo,demo,0,windows,56,10,Game demo,NA,NA,NA
49400,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49402,True,Magic the Gathering: Duels of the Planeswalkers: Expansion One,advertising,0,windows,NA,2:24:22:18:23:8:25,Single-player:Shared/Split Screen:Steam Achievements:Partial Controller Support:Steam Cloud:Valve Anti-Cheat enabled:Steam Leaderboards,2,Strategy,NA
49403,True,Duels of the Planeswalkers - Expansion Two,advertising,0,windows,NA,2:24:22:18:23:8:25,Single-player:Shared/Split Screen:Steam Achievements:Partial Controller Support:Steam Cloud:Valve Anti-Cheat enabled:Steam Leaderboards,2,Strategy,NA
49404,True,Duels of the Planeswalkers - Expansion Three,advertising,0,windows,NA,2:24:22:18:23:8:25,Single-player:Shared/Split Screen:Steam Achievements:Partial Controller Support:Steam Cloud:Valve Anti-Cheat enabled:Steam Leaderboards,2,Strategy,NA
49406,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49407,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
