app_id,status,review_score,review_score_desc,total_positive,total_negative,total_reviews
980,True,0,No user reviews,0,0,0
981,True,0,No user reviews,0,0,0
982,True,0,No user reviews,0,0,0
983,True,0,No user reviews,0,0,0
984,True,0,No user reviews,0,0,0
985,True,0,No user reviews,0,0,0
986,True,0,No user reviews,0,0,0
987,True,0,No user reviews,0,0,0
988,True,0,No user reviews,0,0,0
989,True,0,No user reviews,0,0,0
990,True,0,No user reviews,0,0,0
991,True,0,No user reviews,0,0,0
992,True,0,No user reviews,0,0,0
994,True,0,No user reviews,0,0,0
995,True,0,No user reviews,0,0,0
996,True,0,No user reviews,0,0,0
997,True,0,No user reviews,0,0,0
998,True,0,No user reviews,0,0,0
999,True,0,No user reviews,0,0,0
1001,True,0,No user reviews,0,0,0
1002,True,6,Mostly Positive,18,5,23
1003,True,0,No user reviews,0,0,0
1007,True,0,No user reviews,0,0,0
1200,True,8,Very Positive,503,86,589
1210,True,0,No user reviews,0,0,0
1213,True,0,No user reviews,0,0,0
1220,True,0,No user reviews,0,0,0
1230,True,8,Very Positive,53,9,62
1240,True,0,No user reviews,0,0,0
1250,True,9,Overwhelmingly Positive,18679,710,19389
1255,True,0,No user reviews,0,0,0
1256,True,7,Positive,21,3,24
1257,True,7,Positive,27,2,29
1259,True,0,No user reviews,0,0,0
1260,True,0,No user reviews,0,0,0
1270,True,0,No user reviews,0,0,0
1273,True,0,No user reviews,0,0,0
1280,True,8,Very Positive,549,58,607
1290,True,0,No user reviews,0,0,0
1300,True,8,Very Positive,206,34,240
1306,True,0,No user reviews,0,0,0
1313,True,8,Very Positive,56,14,70
1317,True,0,No user reviews,0,0,0
1320,True,0,No user reviews,0,0,0
1500,True,6,Mostly Positive,276,79,355
1502,True,0,No user reviews,0,0,0
1504,True,0,No user reviews,0,0,0
1507,True,0,No user reviews,0,0,0
1510,True,8,Very Positive,997,105,1102
1520,True,8,Very Positive,1429,214,1643
1522,True,0,No user reviews,0,0,0
1523,True,0,No user reviews,0,0,0
1525,True,0,No user reviews,0,0,0
1528,True,0,No user reviews,0,0,0
1530,True,8,Very Positive,208,31,239
1532,True,0,No user reviews,0,0,0
1535,True,0,No user reviews,0,0,0
1540,True,0,No user reviews,0,0,0
1600,True,6,Mostly Positive,118,44,162
1610,True,8,Very Positive,115,20,135
1620,True,0,No user reviews,0,0,0
1630,True,6,Mostly Positive,192,53,245
1635,True,0,No user reviews,0,0,0
1640,True,6,Mostly Positive,250,99,349
1645,True,0,No user reviews,0,0,0
1670,True,5,Mixed,70,47,117
1690,True,5,Mixed,158,73,231
1700,True,8,Very Positive,376,74,450
1710,True,0,No user reviews,0,0,0
1840,True,8,Very Positive,189,13,202
1900,True,5,Mixed,153,109,262
1920,True,0,No user reviews,0,0,0
1930,True,5,Mixed,712,309,1021
2100,True,8,Very Positive,2303,230,2533
2110,True,0,No user reviews,0,0,0
2114,True,0,No user reviews,0,0,0
2115,True,0,No user reviews,0,0,0
2120,True,0,No user reviews,0,0,0
2130,True,0,5 user reviews,5,0,5
2145,True,0,No user reviews,0,0,0
2150,True,0,No user reviews,0,0,0
2200,True,9,Overwhelmingly Positive,1017,50,1067
2210,True,8,Very Positive,564,118,682
2270,True,8,Very Positive,1221,74,1295
2280,True,8,Very Positive,4454,246,4700
2290,True,8,Very Positive,452,78,530
2300,True,8,Very Positive,2200,168,2368
2310,True,9,Overwhelmingly Positive,2584,130,2714
2320,True,8,Very Positive,1181,103,1284
2330,True,8,Very Positive,60,14,74
2340,True,5,Mixed,38,38,76
2350,True,6,Mostly Positive,83,23,106
2360,True,8,Very Positive,220,31,251
2370,True,6,Mostly Positive,56,17,73
2390,True,8,Very Positive,356,24,380
2400,True,8,Very Positive,1514,266,1780
2403,True,0,No user reviews,0,0,0
2410,True,0,No user reviews,0,0,0
2413,True,0,No user reviews,0,0,0
2420,True,5,Mixed,162,90,252
2430,True,0,No user reviews,0,0,0
2450,True,6,Mostly Positive,330,118,448
2460,True,0,No user reviews,0,0,0
2500,True,6,Mostly Positive,355,103,458
2505,True,0,No user reviews,0,0,0
2510,True,0,No user reviews,0,0,0
2520,True,5,Mixed,29,27,56
2525,True,0,2 user reviews,1,1,2
2530,True,0,No user reviews,0,0,0
2540,True,5,Mixed,63,54,117
2545,True,0,2 user reviews,0,2,2
2550,True,0,2 user reviews,0,2,2
2570,True,2,Very Negative,7,71,78
2590,True,5,Mixed,221,155,376
2600,True,8,Very Positive,5672,300,5972
2610,True,8,Very Positive,531,73,604
2620,True,8,Very Positive,1197,71,1268
2625,True,0,No user reviews,0,0,0
2630,True,8,Very Positive,1681,151,1832
2635,True,0,No user reviews,0,0,0
2640,True,8,Very Positive,404,55,459
2645,True,0,No user reviews,0,0,0
2680,True,0,No user reviews,0,0,0
2690,True,0,1 user reviews,1,0,1
2700,True,8,Very Positive,2442,280,2722
2710,True,8,Very Positive,122,22,144
2720,True,7,Positive,13,1,14
2724,True,0,No user reviews,0,0,0
2725,True,0,No user reviews,0,0,0
2726,True,0,No user reviews,0,0,0
2730,True,0,No user reviews,0,0,0
2740,True,0,No user reviews,0,0,0
2760,True,8,Very Positive,183,8,191
2767,True,0,No user reviews,0,0,0
2768,True,0,No user reviews,0,0,0
2770,True,0,No user reviews,0,0,0
2780,True,6,Mostly Positive,82,33,115
2790,True,0,1 user reviews,1,0,1
2800,True,6,Mostly Positive,107,31,138
2810,True,5,Mixed,132,66,198
2820,True,8,Very Positive,762,136,898
2826,True,0,No user reviews,0,0,0
2827,True,0,No user reviews,0,0,0
2840,True,5,Mixed,76,34,110
2850,True,6,Mostly Positive,21,9,30
2860,True,0,No user reviews,0,0,0
2870,True,4,Mostly Negative,1195,2135,3330
2900,True,6,Mostly Positive,63,18,81
2910,True,8,Very Positive,125,27,152
2920,True,6,Mostly Positive,32,11,43
2930,True,0,1 user reviews,1,0,1
2950,True,0,No user reviews,0,0,0
2990,True,8,Very Positive,1632,117,1749
3000,True,6,Mostly Positive,33,12,45
3010,True,6,Mostly Positive,87,26,113
3020,True,6,Mostly Positive,347,119,466
3030,True,0,No user reviews,0,0,0
3040,True,0,No user reviews,0,0,0
3050,True,6,Mostly Positive,51,15,66
3130,True,6,Mostly Positive,122,32,154
3150,True,0,2 user reviews,1,1,2
3160,True,0,3 user reviews,3,0,3
3170,True,8,Very Positive,205,27,232
3190,True,0,No user reviews,0,0,0
3200,True,7,Positive,41,3,44
3205,True,0,No user reviews,0,0,0
3210,True,0,No user reviews,0,0,0
3220,True,5,Mixed,37,40,77
3230,True,4,Mostly Negative,20,62,82
3260,True,5,Mixed,129,104,233
3270,True,5,Mixed,123,61,184
3273,True,0,No user reviews,0,0,0
3280,True,0,No user reviews,0,0,0
3300,True,8,Very Positive,167,10,177
3302,True,0,No user reviews,0,0,0
3310,True,8,Very Positive,242,19,261
3312,True,0,No user reviews,0,0,0
3320,True,9,Overwhelmingly Positive,1504,50,1554
3322,True,0,1 user reviews,1,0,1
3330,True,8,Very Positive,370,39,409
3332,True,0,No user reviews,0,0,0
3340,True,6,Mostly Positive,30,9,39
3342,True,0,No user reviews,0,0,0
3350,True,8,Very Positive,64,11,75
3352,True,0,No user reviews,0,0,0
3360,True,7,Positive,33,2,35
3362,True,0,No user reviews,0,0,0
3370,True,7,Positive,37,3,40
3372,True,0,No user reviews,0,0,0
3380,True,8,Very Positive,72,5,77
3382,True,0,No user reviews,0,0,0
3390,True,8,Very Positive,266,11,277
3392,True,0,No user reviews,0,0,0
3400,True,7,Positive,28,2,30
3402,True,0,No user reviews,0,0,0
3410,True,6,Mostly Positive,66,27,93
3412,True,0,No user reviews,0,0,0
3420,True,7,Positive,12,1,13
3422,True,0,No user reviews,0,0,0
3430,True,8,Very Positive,53,2,55
3432,True,0,No user reviews,0,0,0
3442,True,0,No user reviews,0,0,0
3450,True,8,Very Positive,104,26,130
3452,True,0,No user reviews,0,0,0
3460,True,0,9 user reviews,9,0,9
3462,True,0,No user reviews,0,0,0
3470,True,8,Very Positive,69,3,72
3472,True,0,No user reviews,0,0,0
3480,True,9,Overwhelmingly Positive,1308,48,1356
3482,True,0,No user reviews,0,0,0
3483,True,0,No user reviews,0,0,0
3490,True,7,Positive,11,2,13
3492,True,0,No user reviews,0,0,0
3500,True,5,Mixed,9,4,13
3502,True,0,No user reviews,0,0,0
3510,True,7,Positive,25,6,31
3512,True,0,No user reviews,0,0,0
3520,True,6,Mostly Positive,13,4,17
3522,True,0,No user reviews,0,0,0
3530,True,7,Positive,30,5,35
3532,True,0,No user reviews,0,0,0
3540,True,8,Very Positive,379,23,402
3542,True,0,No user reviews,0,0,0
3560,True,8,Very Positive,122,24,146
3562,True,0,No user reviews,0,0,0
3570,True,6,Mostly Positive,8,3,11
3572,True,0,No user reviews,0,0,0
3580,True,7,Positive,18,2,20
3582,True,0,No user reviews,0,0,0
3590,True,9,Overwhelmingly Positive,11630,325,11955
3592,True,0,No user reviews,0,0,0
3599,True,0,No user reviews,0,0,0
3600,True,6,Mostly Positive,43,13,56
3602,True,0,No user reviews,0,0,0
3610,True,7,Positive,12,2,14
3612,True,0,No user reviews,0,0,0
3620,True,8,Very Positive,286,16,302
3622,True,0,No user reviews,0,0,0
3629,True,0,No user reviews,0,0,0
3630,True,7,Positive,31,3,34
3632,True,0,No user reviews,0,0,0
3640,True,0,No user reviews,0,0,0
3642,True,0,No user reviews,0,0,0
3650,True,0,No user reviews,0,0,0
3652,True,0,No user reviews,0,0,0
3700,True,6,Mostly Positive,485,202,687
3710,True,8,Very Positive,464,64,528
3720,True,9,Overwhelmingly Positive,1795,85,1880
3730,True,8,Very Positive,1008,142,1150
3750,True,0,No user reviews,0,0,0
