app_id,num_users,total_hours
10,1000.0,19124629.0
20,1000.0,6349770.0
30,1000.0,7296999.0
40,679.0,1374408.0
50,1000.0,1406570.0
60,1000.0,1518032.0
70,1000.0,1981731.0
80,1000.0,8768910.0
100,315.0,728026.0
130,1000.0,964264.0
220,1000.0,1584023.0
240,1000.0,9461711.0
280,1000.0,976599.0
300,1000.0,14896648.0
320,1000.0,10734770.0
340,1000.0,260753.0
360,914.0,2355181.0
380,1000.0,568449.0
400,1000.0,814274.0
420,1000.0,765290.0
440,1000.0,44530022.0
500,1000.0,6185683.0
550,1000.0,4938480.0
570,1000.0,135022985.0
620,1000.0,2396893.0
630,130.0,222501.0
660,1.0,0.0
730,1000.0,36945589.0
1002,23.0,10509.0
1200,589.0,2089948.0
1230,62.0,48399.0
1250,1000.0,16277495.0
1256,24.0,0.0
1257,29.0,0.0
1280,607.0,10309594.0
1300,240.0,83797.0
1313,70.0,54822.0
1500,355.0,270464.0
1510,1000.0,1093054.0
1520,1000.0,1408585.0
1530,239.0,312733.0
1600,162.0,377923.0
1610,135.0,1311458.0
1630,245.0,785511.0
1640,349.0,1091657.0
1670,117.0,29961.0
1690,231.0,1677769.0
1700,450.0,455299.0
1840,202.0,4673044.0
1900,262.0,388221.0
1930,1000.0,1856329.0
2100,1000.0,1202539.0
2130,5.0,2699.0
2200,1000.0,2591937.0
2210,682.0,653989.0
2270,1000.0,436012.0
2280,1000.0,823270.0
2290,530.0,551056.0
2300,1000.0,1224363.0
2310,1000.0,858280.0
2320,1000.0,1033674.0
2330,74.0,23741.0
2340,76.0,30282.0
2350,106.0,139099.0
2360,251.0,150244.0
2370,73.0,27131.0
2390,380.0,257886.0
2400,1000.0,723999.0
2420,252.0,46335.0
2450,448.0,501748.0
2500,458.0,198653.0
2520,56.0,13160.0
2525,2.0,79.0
2540,117.0,7566.0
2545,2.0,286.0
2550,2.0,385.0
2570,78.0,5103.0
2590,376.0,215855.0
2600,1000.0,2978676.0
2610,604.0,433707.0
2620,1000.0,1592969.0
2630,1000.0,4391927.0
2640,459.0,1895096.0
2690,1.0,2442.0
2700,1000.0,6649360.0
2710,144.0,236886.0
2720,14.0,103565.0
2760,191.0,2270198.0
2780,115.0,116494.0
2790,1.0,137.0
2800,138.0,1225835.0
2810,198.0,926072.0
2820,898.0,12583551.0
2840,110.0,277261.0
2850,30.0,61729.0
2870,1000.0,11569769.0
2900,81.0,219636.0
2910,152.0,601304.0
2920,43.0,65317.0
2930,1.0,386.0
2990,1000.0,1609941.0
3000,45.0,37686.0
3010,113.0,71660.0
3020,466.0,713066.0
3050,66.0,47780.0
3130,154.0,291649.0
3150,2.0,331.0
3160,3.0,120.0
3170,232.0,953222.0
3200,44.0,61012.0
3220,77.0,50763.0
3230,82.0,21093.0
3260,233.0,62335.0
3270,184.0,92461.0
3300,177.0,358694.0
3310,261.0,695393.0
3320,1000.0,1185350.0
3322,1.0,84.0
3330,409.0,2929574.0
3340,39.0,14174.0
3350,75.0,145226.0
3360,35.0,86299.0
3370,40.0,1137283.0
3380,77.0,360964.0
