app_id,review_score,review_score_desc,total_positive,total_negative,total_reviews
4500,8,Very Positive,5827,331,6158
4520,5,Mixed,66,30,96
4530,5,Mixed,48,24,72
4540,8,Very Positive,615,110,725
4550,8,Very Positive,873,66,939
4560,8,Very Positive,1911,135,2046
4570,9,Overwhelmingly Positive,2163,103,2266
4580,9,Overwhelmingly Positive,2257,82,2339
4700,9,Overwhelmingly Positive,8230,383,8613
4720,8,Very Positive,726,119,845
4720,8,Very Positive,726,120,846
4760,8,Very Positive,5778,345,6123
4770,5,Mixed,235,105,340
4780,8,Very Positive,414,14,428
4800,8,Very Positive,71,12,83
4830,7,Positive,35,0,35
4850,8,Very Positive,369,50,419
4856,0,1 user reviews,0,1,1
4870,8,Very Positive,50,12,62
4880,6,Mostly Positive,66,24,90
4890,5,Mixed,105,52,157
4900,8,Very Positive,64,8,72
4920,8,Very Positive,3913,640,4553
6000,8,Very Positive,5335,281,5616
6010,8,Very Positive,502,29,531
6020,9,Overwhelmingly Positive,4819,240,5059
6030,8,Very Positive,1650,165,1815
6040,8,Very Positive,449,44,493
6060,8,Very Positive,24929,1573,26502
6080,8,Very Positive,314,21,335
6090,8,Very Positive,104,7,111
6100,7,Positive,27,6,33
6120,8,Very Positive,482,85,567
6200,8,Very Positive,648,86,734
6210,6,Mostly Positive,58,23,81
6220,8,Very Positive,687,70,757
6250,8,Very Positive,275,68,343
6260,0,1 user reviews,1,0,1
6270,5,Mixed,31,43,74
6300,8,Very Positive,455,89,544
6310,8,Very Positive,863,80,943
6340,0,3 user reviews,3,0,3
6370,0,4 user reviews,4,0,4
6400,8,Very Positive,57,9,66
6420,8,Very Positive,358,56,414
6510,6,Mostly Positive,271,96,367
6550,5,Mixed,455,504,959
6570,5,Mixed,27,26,53
6600,5,Mixed,27,29,56
6800,8,Very Positive,629,88,717
6810,8,Very Positive,168,35,203
6830,8,Very Positive,544,126,670
6840,5,Mixed,129,120,249
6850,8,Very Positive,658,147,805
6860,8,Very Positive,3654,235,3889
6870,6,Mostly Positive,188,69,257
6880,5,Mixed,753,450,1203
6900,5,Mixed,574,313,887
6910,9,Overwhelmingly Positive,5622,267,5889
6920,5,Mixed,549,376,925
6980,8,Very Positive,856,176,1032
7000,8,Very Positive,845,127,972
7010,6,Mostly Positive,150,52,202
7020,8,Very Positive,157,9,166
7060,5,Mixed,7,4,11
7110,6,Mostly Positive,760,273,1033
7200,8,Very Positive,599,39,638
7210,5,Mixed,119,64,183
7220,5,Mixed,34,39,73
7260,5,Mixed,33,30,63
7340,0,9 user reviews,7,2,9
7500,7,Positive,24,0,24
7510,5,Mixed,254,232,486
7520,5,Mixed,934,868,1802
7530,4,Mostly Negative,37,58,95
7600,5,Mixed,721,337,1058
7610,8,Very Positive,395,95,490
7620,8,Very Positive,496,62,558
7650,8,Very Positive,299,23,322
7660,8,Very Positive,353,44,397
7670,8,Very Positive,9060,587,9647
7730,5,Mixed,36,32,68
7760,9,Overwhelmingly Positive,1666,55,1721
7770,5,Mixed,78,87,165
7800,7,Positive,25,2,27
7830,8,Very Positive,735,138,873
7840,5,Mixed,14,16,30
7850,8,Very Positive,91,5,96
7860,5,Mixed,234,101,335
7870,0,8 user reviews,8,0,8
7880,0,1 user reviews,1,0,1
7910,0,1 user reviews,1,0,1
7940,8,Very Positive,5268,494,5762
7980,0,2 user reviews,1,1,2
7990,0,2 user reviews,1,1,2
8000,8,Very Positive,1044,254,1298
8040,7,Positive,12,1,13
8060,7,Positive,35,7,42
8080,5,Mixed,427,304,731
8100,5,Mixed,45,57,102
8140,6,Mostly Positive,794,302,1096
8160,5,Mixed,15,12,27
8170,5,Mixed,639,362,1001
8190,8,Very Positive,14693,1234,15927
8200,8,Very Positive,216,26,242
8210,7,Positive,30,1,31
8220,7,Positive,22,2,24
8230,0,9 user reviews,9,0,9
8240,7,Positive,26,1,27
8250,7,Positive,22,0,22
8260,8,Very Positive,61,5,66
8270,7,Positive,18,4,22
8280,7,Positive,19,1,20
8290,7,Positive,23,0,23
8300,7,Positive,16,2,18
8310,5,Mixed,35,20,55
8320,5,Mixed,18,8,26
